date,event,venue,source
2025-10-05,"浅見怜美主催『REMI♡LAND Vol.1』","新宿HEAD POWER","data_event"
2025-10-11,"恋咲かれん生誕祭2025","DESEO mini with VV","data_event"
2025-10-12,"TOKYO GIRLS GIRLS extra!!","山王ヒルズホール","data_event"
2025-10-12,"【アイドルマリアージュVol.31～全組25分SP～】","WALL&WALL","data_event"
2025-10-13,"「ABC IDOL」","YOKOHAMA COAST garage+","data_event"
2025-10-14,"Tool to 杏ゆず子 生誕祭2025","大塚Hearts+","data_event"
2025-10-17,"緊急開催！ろりぽっぷ!!!!!!!ワンコインライブ","S.U.B. TOKYO","data_event"
2025-10-18,"『mi-mi first solo exhibition 『CUTE AGGRESSION』~LONG SET LIVE~』","渋谷 FOWS","data_event"
2025-10-18,"【ポッケからきゅんっふぇす！】","新宿ZircoTokyo","data_event"
2025-10-19,"虹色幻想曲～プリズム・ファンタジア～北野めぐみ生誕祭","高円寺HIGH","data_event"
2025-10-19,"行田古墳フェスティバル","さきたま古墳公園","data_event"
2025-10-21,"AOAO主催サーキットフェス""ブルーセッション EX""","Star lounge","data_event"
2025-10-25,"ろりぽっぷ!!!!!!!単独ライブVol.9\\\\Halloween🎃LIVE//","アイドルステージ新宿","data_event"
2025-10-26,"Killer Tune SHIBUYA 2025 SP FURUKAWA 48 SONIC!!!!!","GARRET udagawa","data_event"
2025-10-26,"「#ワンミリHalloween🎃」","渋谷音楽堂","data_event"
2025-11-02,"SAKURA JOURNEY 2025 東名阪ツアー 〜 OSAKA","PLUSWIN HALL大阪","data_event"
2025-11-03,"Merry Mellow pre.『MALLOW POP 1pic』","FANJ twice","data_event"
2025-11-08,"「はなまるっ Vol.111」","浅草VAMPKIN","data_event"
2025-11-08,"『AGE FES! 野外』","上野恩賜公園野外ステージ","data_event"
2025-11-09,"@ JAM PARTY vol.114 1部","横浜MMブロンテ","data_event"
2025-11-09,"@ JAM PARTY vol.114 2部","横浜MMブロンテ","data_event"
2025-11-15,"すこふぇすDAY","新宿WALLY","data_event"
2025-11-15,"すこふぇすNIGTH","新宿WALLY","data_event"
2025-11-16,"『ラジオ大阪Presents GIRLS CIRCUIT LIVE』","渋谷DESEO","data_event"
2025-11-24,"🍬1stAnniversaryLIVE🍬~ろりぽの挑戦~","赤羽ReNY alpha","data_event"
2025-12-06,"12月やねっ","新宿DHNoA","data_event"
2025-12-07,"Oshi Fes in IKEBUKURO Girls X'mas Night","池袋西口公園野外劇場 GLOBAL RING THEATER","data_event"
2025-12-10,"ろりぽっぷ!!!!!!!単独ライブVol.10~NONSTOPLIVE~","","data_event"
2025-12-13,"あむとあむあむ牧場～ギャ‼️～","BUZZ music LABO Sinjuku","data_event"
2025-12-14,"はるフェスvol.19","秋葉原Galaxy","data_event"
2025-12-15,"HYPE IDOL！","品川インターシティホール","data_event"
2025-12-19,"Dear.LIVE! Vol.8 - 綾瀬りょうBIRTHDAY -","新宿WALLY","data_event"
2025-12-20,"アイドルマリアージュVol.40～全組30分SP～","新宿DHNoA","data_event"
2025-12-21,"#拡散Φ輝望 vol.201""倉川さいか生誕祭""","浅草VAMPKIN","data_event"
2025-12-24,"ろりぽっぷ!!!!!!!ワンコインライブ~私服公演~","渋谷TAKE OFF7","data_event"
2025-12-24,"ろりぽっぷ!!!!!!!単独ライブVol.11🎄クリスマススペシャル🎄","渋谷TAKEOFF7","data_event"
2025-12-27,"[pêssego]","池袋リヴォイス","data_event"
2025-12-28,"スパドキフェスティバルVol.115～年末大感謝SP～","横浜ランドマークホール","data_event"
2025-12-29,"Killer Tune SHIBUYA THE LAST Day1","SHIBUYA CYCLONE","data_event"
2025-12-29,"Killer Tune SHIBUYA THE LAST Day1","GARRET udagawa","data_event"
2025-12-30,"Killer Tune SHIBUYA THE LAST Day2","","data_event"
2025-12-30,"アイドルアラモードプチVol.127～2025年末大感謝SP～","WITH HARAJUKU","data_event"
2026-01-10,"おまゆ生誕祭","","data_event"
2026-01-12,"えみゆか生誕祭","新宿DHNoA","data_event"
2026-01-12,"はなまるっ Vol.119","渋谷RING","data_event"
2026-01-17,"GIRLS CIRCUIT","高田馬場","data_event"
2026-01-18,"ABC IDOL","横浜","data_event"
2026-01-21,"SAKURA PARTY vol.1","シアターマーキュリー新宿","data_event"
2026-01-24,"まう生誕祭2026","アイドルステージ新宿","data_event"
2026-01-25,"CYBER","渋谷RING","data_event"
2026-01-31,"はなまるっ Vol.121","浅草VAMPKIN","data_event"
2026-02-01,"ASAKUSA DREAMBOX ～節分スペシャル～","浅草VAMPKIN","data_event"
2026-02-01,"はなまるっ Vol.122","渋谷RING","data_event"
2026-02-03,"#うりぼ BIRTHDAY LIVE 〜純にょん大吟醸でちぇいえ祭〜","TwinBox AKIHABARA","data_event"
2026-02-07,"MAKEUP IDOL FES","原宿ベルエポック美容専門学校","data_event"
2026-02-08,"まんてんあみてん2026","渋谷CYCLONE","data_event"
2026-02-09,"FULLMOON PARTY vol.14","新宿SAMURAI","data_event"
2026-02-10,"ハッピーレプレプ~challenge.26~","大塚Hearts Next","data_event"
2026-02-14,"はなまるっ Vol.123","吉祥寺CLUB SEATA","data_event"
2026-02-15,"2026 応援せずにはいられないアイドルSP!!! vol.2","KMAパラダイスホール","data_event"
2026-02-15,"アイドルマリアージュVol.47","有明スモールワールズ","data_event"
2026-02-21,"ライブジム 第48弾","Viblue EBISU","data_event"
2026-02-22,"MISS MY NOTES -DEBUT LIVE- [FIRST NOTE]","SUPERNOVA KAWASAKI","data_event"
2026-02-22,"アプロ☆フェス -Live in Up-","新宿ReNY","data_event"
2026-02-23,"mana tea time 2026","GARRET udagawa","data_event"
2026-03-01,"POP IN FESTIVAL 2026","渋谷チェルシーホテル","data_event"
2026-03-06,"マリナ・ディライト生誕祭HAPPY PARTY MARINAight VOL.3","渋谷スターラウンジ","data_event"
2026-03-07,"MOVE ON MUSIC! special","SHIBUYA CYCLONE","data_event"
2026-03-08,"〜アイドルサミットHARAJUKU SP!!!","WITH HARAJUKUホール","data_event"
2026-03-14,"ろりぽっぷ!!!!!!!ホワイトデー単独ライブVol.12","原宿RUIDO","data_event"
2026-03-15,"「ASAKUSA DREAMBOX 虹色幻想曲〜プリズム・ファンタジア〜11TH ANNIVERSARY 当日祭」","浅草VAMPKIN","data_event"
2026-03-20,"「はなまるっ Vol.128～全組25分SP～」","渋谷RING","data_event"
2026-03-22,"FiDZ主催イベント 「中込との遭遇」","新宿SAMURAI","data_event"
2026-03-22,"「はなまるっ Vol.129」　〜虹色幻想曲周年記念〜11TH ANNIVERSARY対バン LIVE !! 後日祭","浅草VAMPKIN","data_event"
2026-03-25,"単独ライブVol.13","中野坂上SUB TOKYO","data_event"
2026-03-28,"MOVE ON MUSIC! Special DayTime at GARRET udagawa","GARRET udagawa","data_event"
2026-03-29,"FIBER","チェルシーホテル","data_event"
2026-03-29,"『横Fes-ヨコフェス-1st ANNIVERSARY Circuit!!』","GOTANDA G6","data_event"
2026-04-02,"Full Moon Party vol.15〜90年代アニソン縛りナイト〜","新宿SAMURAI","data_event"
2026-04-03,"「HARAJUKU RUIDO SUPER LIVE 2026」※無銭スペシャル公演編","原宿RUIDO","data_event"
2026-04-04,"「SHINSEIKI SUPER LIVE 2026」","ダンスホール新世紀","data_event"
2026-04-05,"▶ライブジム 第50弾","新宿ReNY","data_event"
2026-04-05,"『ABC IDOL』","YOKOHAMA COAST garage+","data_event"
2026-04-11,"『凜ふぇす Vol.2～無銭アイドルふぇす～』","秋葉原ZEST","data_event"
2026-04-12,"「竹取の遊パート2」","永山健康ランド「竹取の湯」","data_event"
2026-04-13,"⟡.·河蝶美咲 生誕祭2026⟡.·「Forever Blooming ¨̮🌷」","SHIBUYA DAIA","data_event"
2026-04-19,"MOVE ON MUSIC！ webana. Special Day","GARRET udagawa","data_event"
2026-04-22,"姫杏朝香卒業ライブ","SUB TOKYO","data_event"
2026-04-25,"AQUARIUM","渋谷スターラウンジ","data_event"
2026-04-25,"「はなまるっ Vol.133」","新宿Zirco Tokyo","data_event"
2026-04-26,"MOVE ON MUSIC! Vol.4","GARRET udagawa","data_event"
2026-04-26,"『【昼の部】服部つばめ生誕祭2026 TSUBAMANIA』","新宿MARZ","data_event"
2026-04-28,"Idol PiT GirlsRush","CROSS STAGE SHIBUYA","data_event"
2026-05-02,"MOVE ON MUSIC! Special","赤羽ReNY alpha","data_event"
2026-05-02,"【NEOPi FES in DHNoA】","新宿DHNoA","data_event"
2026-05-03,"『ATSUMORI PARTY』","浅草VAMPKIN","data_event"
2026-05-04,"「はなまるっ Vol.137～全組25分SP～」","浅草VAMPKIN","data_event"
2026-05-04,"『JAPAN IDOL SUPER LIVE 2026』","東京キネマ倶楽部","data_event"
2026-05-05,"『歌舞伎町UP GATE↑↑2026』","新宿DHNoA","data_event"
2026-05-06,"MOVE ON MUSIC! Special","横浜ReNY","data_event"
2026-05-09,"『IDOL DrinkBar（アイドリンクバー）』","中野坂上S.U.B TOKYO","data_event"
2026-05-10,"「FUTURE: SUPER LIVE 2026」InnocentFairy 三好杏依 生誕祭","大塚FUTURE","data_event"
2026-05-10,"犬宮さくら生誕祭2026","Akiba Stella Cube","data_event"
2026-05-16,"「VAMPKIN SUPER LIVE」","浅草VAMPKIN","data_event"
2026-05-17,"『UK祭』","中野坂上S.U.B TOKYO","data_event"
2026-05-19,"【繋Fes vol,1】","GOTANDA G3","data_event"
2026-05-22,"Ui Chihiro 8th Anniversary 〜Infinity〜","新宿SAMURAI","data_event"
2026-05-23,"【GIRLS EDITION〜AEON MALL Musashimurayama IDOL LIVE〜】","イオンモールむさし村山","data_event"
2026-05-24,"『IDOL GARDEN PLACE』","S.U.B TOKYO","data_event"
2026-05-26,"『にぃなン 解散 LAST LIVE』","吉祥寺CLUB SEATA","data_event"
2026-05-27,"単独ライブ（ろりぽっぷ!!!!!!!単独ライブVol.15 1部 ワンコインライブ）","SUB TOKYO","data_event"
2026-05-27,"単独ライブ（ろりぽっぷ!!!!!!!単独ライブVol.15 2部 NONSTOP リクエストアワー）","SUB TOKYO","data_event"
2026-05-30,"「ZEST SUPER LIVE」","秋葉原ZEST","data_event"
2026-05-31,"MOVE ON MUSIC! Vol.7","SHIBUYA CYCLONE","data_event"
2026-05-31,"▼ライブジムex","下北沢シャングリラ","data_event"
2026-06-06,"ろりぽっぷ!!!!!!!3rdワンマン〜全力疾走〜","新宿ReNY","data_event"
2026-06-13,"名古屋遠征（1本目 / mistFES2026）","Dt.BLD 3F","data_event"
2026-06-13,"名古屋遠征（2本目 / mistFES2026）","X-HALL ZEN","data_event"
2026-06-14,"名古屋遠征（2日目 / mistFES2026）","ライオンシアター","data_event"
2026-06-16,"il pleut pre.「イルプルFES-2会場サーキット-」","渋谷DESEO","data_event"
2026-06-19,"マリナ・ディライト主催企画 「Say Yeah！ 〜もっとハロプロナイト〜」","新宿SAMURAI","data_event"
2026-06-20,"『 緊急開催!!浅草無銭ライブ』","浅草花劇場","data_event"
2026-06-20,"信野樹奈 Birthday Live Tour 2026 じゅなフェス in横浜","横浜YTJホール","data_event"
2026-06-21,"「ソノウチ-day-」","日本橋PACKMAN","data_event"
2026-06-24,"ワンコインライブ~私服公演~（JSON表記: ⚠️単独ライブ⚠️）","中野坂上SUB TOKYO","data_event"
2026-06-24,"単独ライブVol.16~デビュー衣装公演~（JSON表記: ⚠️単独ライブ⚠️）","中野坂上SUB TOKYO","data_event"
2026-06-28,"NUANCE presents. 「primitive in the mood」","新宿MARZ","data_event"
2026-06-28,"⚠️『TOKYO GIRLS GIRLS extra!!』⚠️","APEXIA","data_event"
2026-07-04,"メガ盛りMAX Live@ボートレース平和島","ボートレース平和島","data_event"
2026-07-05,"GLiTTRE～Girl's LiT Trend～","KANDA SQUARE HALL","data_event"
2026-07-11,"シンガポール（CREATORS SUPER FEST 2026 1日目）","","data_event"
2026-07-12,"シンガポール（CREATORS SUPER FEST 2026 2日目）","","data_event"
2026-07-19,"POP IN FESTIVAL 2026","大塚FUTURE:","data_event"
2026-07-19,"【UP-T FESTIVAL mini Vol.41】","SHIBUYA VIDENT","data_event"
2026-07-20,"ぽんちゃんのおたんじょうびかい（JSON表記: ライブ予定）","永山健康ランド「竹取の湯」","data_event"
2026-07-25,"はなまるっ Vol.147～全組25分SP～","浅草VAMPKIN","data_event"
2026-07-26,"IDOL Treasure bottle LIVE～真夏の横浜アイドルSPLASH祭り～","日本丸メモリアルパーク 屋外メインアリーナ","data_event"
2026-07-26,"「Evolving Communication and Relationships Between Boys and Girls」","神田CLUB F#","data_event"
2026-07-29,"1部ワンコインライブ（JSON未掲載／公式投稿あり）","中野坂上SUB TOKYO","data_event"
2026-07-29,"2部単独ライブ Vol.17 カラーチェンジ公演（歌割りシャッフル）","中野坂上SUB TOKYO","data_event"
2026-08-01,"MOVE ON MUSIC! Special","新高円寺LOFT X","data_event"
2026-08-02,"TOKYO GIRLS GIRLS extra!!","Viblue EBISU","data_event"
2026-08-02,"UNIVERSE企画『Dance party』","新宿MARZ","data_event"
2026-08-08,"【ポッケからきゅんっふぇす！】","新宿Zirco Tokyo","data_event"
2026-08-09,"「SHIBUYA KAWAII SUPER LIVE 2026」","渋谷近未来会館","data_event"
2026-08-09,"【IDOL ∞ INFINITY HOLIDAY SP 2026】","白金高輪SELENE b2","data_event"
2026-08-10,"⚠️動員重要ライブ⚠️『idolliveinfoREAL』","新宿DHNoA","data_event"
2026-08-11,"苺花なつみ生誕祭 × 卒業ライブ","新宿MARZ","data_event"
2026-08-14,"『IDOL Treasure bottle LIVE～真夏の立川アイドルSPLASH祭り～【DAY4】』","コモンズ 立川立飛","data_event"
2026-08-15,"POPGALAXY2026","お台場R地区","data_event"
2026-08-22,"ガラストロメ!!","TOKYOSQUARE in Itabashi","data_event"
2026-08-24,"「idolliveinfo REAL」","新宿DHNoA","data_event"
2026-08-26,"単独ライブ（1部ワンコインライブ）","中野坂上SUB TOKYO","data_event"
2026-08-26,"単独ライブ（2部 Vol.18 夏曲お披露目公演）","中野坂上SUB TOKYO","data_event"
