date,event,venue,setlist
2025-07-21,"ろりぽっきゅべる！　Vol.2","渋谷eggman","SE;01 ろりぽっぷ!!!!!!!;02 ぽっぽ♪ポジティブ！！;MC;03 乙女ロック;04 推し事〜女の子アイドルオタクあるある〜;05 Say Hello‼︎;06 SHINY DAYS（1本目）"
2025-07-21,"【アイドルマリアージュVol.25～全組30分SP～】","WALL&WALL","SE;01 始まりの宴;02 むげんの☆Lambie;03 ぽっぽ♪ポジティブ！！;MC;04 乙女ロック;05 HELLO;06 BLIND CALL;07 ろりぽっぷ!!!!!!!;MC（2本目）"
2025-07-23,"【ストグリとあそぼ！】","新宿Zirco Tokyo","SE;01 SHINY DAYS;02 MY DREAM MY LIFE;03 ぽっぽ♪ポジティブ！！;04 KAWAIIは正義;05 BLIND CALL;06 乙女ロック;MC"
2025-07-26,"【アイドルアラモードプチVol.112】","横浜ランドマークホール","セトリ投稿確認できず（情報投稿のみ）"
2025-07-27,"『TSUNAGU ～天プロ無銭定期ライブ〜vol.1』","AOHARIUM TOKYO","SE;01 ろりぽっぷ!!!!!!!;02 HELLO;03 MY DREAM MY LIFE;04 推し事;MC;05 乙女ロック;06 始まりの宴;07 ぽっぽ♪ポジティブ！！（1本目）"
2025-07-27,"Killer Tune SHIBUYA 2025 Vol.63","GARRET udagawa","SE;01 むげんの★Lambie;02 ぽっぽ♪ポジティブ！！;03 BLIND CALL;04 始まりの宴;05 乙女ロック;MC（2本目）"
2025-07-29,"『Vamos Ao Vivo!! SUMMER BEACH ver.』","ZAIMOKUZA BEACH HOUSE","1部: SE;01 ろりぽっぷ!!!!!!!;02 始まりの宴;03 ぽっぽ♪ポジティブ！！;04 乙女ロック | 2部: SE;01 始まりの宴;02 ぽっぽ♪ポジティブ！！;03 BLIND CALL;04 HELLO;05 SHINY DAYS（海の家・デコTシャツ衣装）"
2025-08-02,"シンガポール遠征","シンガポール（現地会場）","セトリ投稿確認できず（遠征情報投稿あり）"
2025-08-09,"「ASAKUSA DREAMBOX」","浅草VAMPKIN","01 MY DREAM MYLIFE;02 乙女ロック;03 むげんの★Lambie;04 BLIND CALL;05 ろりぽっぷ!!!!!!!;MC"
2025-08-09,"【アイドルアラモードプチVol.114】","浅草花劇場","SE;01 ろりぽっぷ!!!!!!!;02 HELLO;03 推し事 ~女の子アイドルオタクあるある~;04 Say Hello!!;05 乙女ロック;MC"
2025-08-10,"「アイドル盆おどり」","渋谷カラオケまねきねこ本店4F","01 始まりの宴;02 SHINY DAYS;MC;03 KAWAIIは正義;04 ろりぽっぷ!!!!!!!;05 ぽっぽ♪ポジティブ！！"
