date,event,venue,setlist
2026-02-03,"#うりぼ BIRTHDAY LIVE 〜純にょん大吟醸でちぇいえ祭〜","TwinBox AKIHABARA","SE;01 ろりぽっぷ!!!!!!!;MC;02 HELLO;03 SHINY DAYS;04 始まりの宴!!!!!!!;MC"
2026-02-07,"MAKEUP IDOL FES","原宿ベルエポック美容専門学校","SE;01 サクラロード;02 BLIND CALL;03 END THE WORLD;04 Unknown;MC"
2026-02-08,"まんてんあみてん2026","渋谷CYCLONE","SE;01 始まりの宴!!!!!!!;02 推し事～女の子アイドルオタクあるある〜;MC;03 初恋サイダー;04 きみわずらい;05 夜明けBrand New Days;06 主人公;MC;07 乙女ロック;08 MY DREAM MY LIFE;09 アタックサイン;10 SHINY DAYS;MC;アンコール;11 約束!!!!!!!"
2026-02-09,"FULLMOON PARTY vol.14","新宿SAMURAI","SE;01 Unknown;02 HELLO;03 END THE WORLD;04 始まりの宴!!!!!!!;MC"
2026-02-10,"ハッピーレプレプ~challenge.26~","大塚Hearts Next","SE;01 Say Hello!!;02 ぽっぽ♪ポジティブ!!;03 KAWAIIは正義;04 むげんの★Lambie;05 キミノセイ、;06 ろりぽっぷ!!!!!!!;MC"
2026-02-14,"はなまるっ Vol.123","吉祥寺CLUB SEATA","01 推し事～女の子アイドルオタクあるある〜;02 KAWAIIは正義;03 ろりぽっぷ!!!!!!;04 キミノセイ、;05 約束!!!!!!!;MC"
2026-02-15,"2026 応援せずにはいられないアイドルSP!!! vol.2","KMAパラダイスホール","SE;01 ぽっぽ♪ポジティブ!!;02 Say Hello!!;03 乙女ロック;04 SHINY DAYS;05 始まりの宴!!!!!!!;MC"
2026-02-15,"アイドルマリアージュVol.47","有明スモールワールズ","SE;01 MY DREAM MY LIFE;02 約束!!!!!!!;MC;03 ぽっぽ♪ポジティブ!!;04 アタックサイン;05 HELLO;MC"
2026-02-21,"ライブジム 第48弾","Viblue EBISU","SE;01 乙女ロック;MC;02 Unknown;03 END THE WORLD;04 SHINY DAYS;MC"
2026-02-22,"アプロ☆フェス -Live in Up-","新宿ReNY","SE;01 ろりぽっぷ!!!!!!;MC;02 キミノセイ、;03 推し事～女の子アイドルオタクあるある〜;04 ぽっぽ♪ポジティブ！！;MC"
2026-02-22,"MISS MY NOTES -DEBUT LIVE- [FIRST NOTE]","SUPERNOVA KAWASAKI","SE;01 始まりの宴!!!!!!!;MC;02 アタックサイン;03 Unknown;04 HELLO;05 主人公;MC"
2026-02-23,"mana tea time 2026","GARRET udagawa","01 君はスパークル;02 スパークルグリッター;03 ろりぽっぷ!!!!!!!;MC;04 空色デイズ;05 今日も君の夢を見たんだ;MC;06 Say Hello!!;07 SHINY DAYS;08 キミノセイ、;MC;アンコール;09 今日も君の夢を見たんだ"
2026-03-01,"POP IN FESTIVAL 2026","渋谷チェルシーホテル","SE;01 Singularity;02 始まりの宴!!!!!!!;03 ろりぽっぷ!!!!!!!;04 ぽっぽ♪ポジティブ!!;05 推し事～女の子アイドルオタクあるある〜;MC"
2026-03-06,"マリナ・ディライト生誕祭HAPPY PARTY MARINAight VOL.3","渋谷スターラウンジ","SE;01 END THE WORLD;02 HELLO;03 始まりの宴!!!!!!!;04 MADOROMI;MC"
2026-03-07,"MOVE ON MUSIC! special","SHIBUYA CYCLONE","SE;01 Singularity;02 始まりの宴!!!!!!!;MC;03 ぽっぽ♪ポジティブ！！;04 END THE WORLD;05 Unknown;06 BLIND CALL;07 SHINY DAYS;08 MADOROMI;09 主人公;MC"
2026-03-08,"〜アイドルサミットHARAJUKU SP!!!","WITH HARAJUKUホール","SE;01 ろりぽっぷ!!!!!!;02 キミノセイ、;03 推し事〜女の子アイドルオタクあるある〜;04 アタックサイン;MC"
2026-03-14,"ろりぽっぷ!!!!!!!ホワイトデー単独ライブVol.12","原宿RUIDO","SE;01 ろりぽっぷ!!!!!!!;02 KAWAIIは正義;MC;03 ♀︎正解の方程式♂ 🆕;04 むげんの☆Lambie;05 MY DREAM MY LIFE;06 サクラロード;07 キミノセイ、;08 約束!!!!!!!;09 ♀︎正解の方程式♂;MC"
2026-03-15,"「ASAKUSA DREAMBOX 虹色幻想曲〜プリズム・ファンタジア〜11TH ANNIVERSARY 当日祭」","浅草VAMPKIN","SE;01 ぽっぽ♪ポジティブ！！;MC;02 ♀︎正解の方程式♂;03 SHINY DAYS;04 推し事～女の子アイドルオタクあるある〜;MC"
2026-03-20,"「はなまるっ Vol.128～全組25分SP～」","渋谷RING","SE;01 約束!!!!!!!;02 Say Hello!!;03 MY DREAM MY LIFE;04 ぽっぽ♪ポジティブ！！;05 乙女ロック;06 HELLO;MC"
2026-03-22,"FiDZ主催イベント 「中込との遭遇」","新宿SAMURAI","SE;01 アタックサイン;02 Unknown;03 END THE WORLD;04 SHINY DAYS;05 ぽっぽ♪ポジティブ！！;MC"
2026-03-22,"「はなまるっ Vol.129」　〜虹色幻想曲周年記念〜11TH ANNIVERSARY対バン LIVE !! 後日祭","浅草VAMPKIN","01 HELLO;02 始まりの宴!!!!!!!;03 むげんの★Lambie;04 MADOROMI;05 主人公;MC"
2026-03-25,"単独ライブVol.13","中野坂上SUB TOKYO","SE;01 正解の方程式;02 MADOROMI;03 アタックサイン;04 ろりぽっぷ!!!!!!;MC（1部ワンコイン）"
2026-03-25,"単独ライブVol.13","中野坂上SUB TOKYO","SE;01 Unknown;02 乙女ロック;MC;03 《未完成ヒロイン》🆕;04 約束!!!!!!!;05 始まりの宴!!!!!!!;MC;06 未完成ヒロイン🆕;MC（2部）"
2026-03-28,"MOVE ON MUSIC! Special DayTime at GARRET udagawa","GARRET udagawa","SE;01 HELLO;02 Unknown;MC;03 未完成ヒロイン🆕;04 推し事〜女の子アイドルオタクあるある〜;05 サクラロード;06 BLIND CALL;07 むげんの☆Lambie;08 SHINY DAYS"
2026-03-29,"『横Fes-ヨコフェス-1st ANNIVERSARY Circuit!!』","GOTANDA G6","SE;01 ろりぽっぷ!!!!!!!;MC;02 ぽっぽ♪ポジティブ！！;03 Say Hello!!;04 HELLO;MC"
2026-03-29,"FIBER","チェルシーホテル","SE;01 未完成ヒロイン;02 アタックサイン;03 キミノセイ、;04 始まりの宴!!!!!!!;MC"
